name,latitude,longitude
acre54,-10.42678400110349,-67.6437429995499
acre6,-10.3043070000422,-67.72446300000905
acre7,-9.762247978382071,-67.82125891373008
acre8,-10.13064933310972,-67.49496981836883
acre9,-10.59603,-67.68706899999999
acrec,-10.110988,-67.04470000000001
acree,-9.734399,-67.259218
acreg,-9.822468000000,-67.374032000000
acren,-9.960923,-67.479536
acrep,-10.1101058150008,-67.04678209447172
acres,-9.7011999963244,-67.66688199660815
acrg1,-9.793096,-66.970692
acrg10,-10.38651800022389,-67.52193799979605
acrg11,-10.38616300006467,-67.5197409999809
acrg12,-9.753505998335877,-67.03350899980649
acrg13,-9.786185999828188,-66.95008099977845
acrg14,-9.598008000000,-67.397359000000
acrg15,-9.835033999344976,-67.50453899997406
acrg16,-9.68233,-67.349839
acrg17,-9.800084,-67.358183
acrg18,-10.14777900125613,-67.04681599896048
acrg19,-9.768902001076945,-67.19222400008788
acrg2,-9.940019022419214,-67.00416494016996
acrg20,-9.684261003487554,-67.1726529998533
acrg21,-9.73099800005687,-67.11235100008642
acrg22,-9.625692998669324,-67.9226039994237
acrg23,-9.791983000033564,-67.06002500004473
acrg24,-9.769569999939026,-67.06229200007503
acrg25,-9.73417699996487,-67.12215700002135
acrg26,-9.710536001713857,-67.12031399948876
acrg27,-10.62337999998446,-67.81632199991761
acrg28,-10.00996800000653,-67.01411699891808
acrg29,-10.17833200057735,-66.9781130010266
acrg30,-10.18535200038387,-66.99315899954001
acrg31,-9.956537000000,-67.298994000000
acrg32,-9.960341000000,-67.362615000000
acrg33,-9.713319000000,-67.221475000000
acrg34,-9.817758000000,-67.291543000000
acrg35,-9.838341000000,-67.30386200000
acrg36,-9.955039000000,-66.75928300000
acrg37,-9.675678000000,-67.39233000000
acrg38,-9.827812000000,-67.325409000000
acrg39,-10.05233000054075,-67.48342400018635
acrg3,-9.787109000200513,-66.95529700004596
acrg4,-10.59752299776689,-67.81731299994264
acrg40,-10.169370000000,-66.975649000000
acrg41,-10.10075200139583,-66.94753700024057
acrg42,-9.683835007447311,-67.33049799224764
acrg43,-9.663304999920079,-67.2498179990226
acrg44,-9.66152300148975,-67.23531600088081
acrg45,-9.8160399996042,-67.51798100009283
acrg46,-10.16706200048636,-67.69153600067742
acrg47,-9.952676000000,-67.595601000000
acrg48,-9.964545000630014,-67.31886900015394
acrg49,-9.963276000176466,-67.31931199977168
acrg50,-9.874660001880805,-66.91836099783842
acrg51,-10.10743116572188,-67.57017012556365
acrg52,-10.50039299999456,-67.76655800003302
acrg53,-10.36941999993548,-67.66231199987628
acrg54,-10.38023602422856,-67.61632700397006
acrg55,-9.729074000158096,-67.22372400012614
acrg56,-9.973514198586871,-66.96708075051271
acrg57,-10.05228000035927,-67.20484399935214
acrg58,-10.48285300053992,-67.75772100014957
acrg59,-9.843251999431871,-67.62629099947998
acrg5,-10.59645699905341,-67.80282600030439
acrg60,-10.77919200012944,-69.1943030001212
acrg61,-9.897392999447547,-66.85304500049612
acrg6,-10.60773299761442,-67.79606299982945
acrg7,-9.716405999652997,-67.12672699965653
acrg8,-9.712206999320234,-67.06954499991781
acrg9,-9.880013000569367,-66.93884800168667
acrge,-9.688573768880067,-67.33319303171312
acro1,-10.133578,-67.556298
acro10,-10.44875749252564,-67.76075131544295
acro11,-9.827506,-67.746844
acro12,-10.07764299944875,-67.57542999984483
acro13,-10.35090902840987,-67.69885208300708
acro14,-9.713835,-67.213756
acro15,-10.32053800015337,-67.7947950004547
acro16,-10.29781800053795,-67.56809499932292
acro17,-10.67029399558147,-67.71173399735068
acro18,-10.33018799994249,-67.70748399998561
acro19,-10.390339000000,-67.558445000000
